MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
111,2929,10.4023,36.7025,-13.3804,1,100.4
111,3114,8.52141,36.6179,-12.4972,1,100.625
111,3115,9.46687,36.7394,-12.4411,1,100.6
111,3117,11.0953,36.8795,-12.7499,2,99.3333
111,2930,11.1451,36.7883,-13.658,1,99
111,3118,11.9044,36.9869,-12.9492,1,99.5
111,3303,10.9679,36.9933,-11.9043,1,98.1667
111,3304,11.8108,37.0724,-12.0643,1,99.8333
111,3302,10.118,36.9419,-11.7747,2,98.6667
111,3301,9.22712,36.8853,-11.7182,1,99.8333
111,3489,9.90133,37.1317,-11.0063,1,98
111,3490,10.8096,37.1657,-11.0824,1,98.3333
112,3117,11.0953,36.8795,-12.7499,0,99.3333
112,3117,11.0953,36.8795,-12.7499,3,99.3333
112,2929,10.4023,36.7025,-13.3804,2,100.4
112,2928,9.46854,36.5669,-13.3668,1,101.25
112,2746,10.298,36.5623,-14.306,1,102.429
112,2930,11.1451,36.7883,-13.658,1,99
112,3116,10.2434,36.7923,-12.6092,1,99.1667
112,3118,11.9044,36.9869,-12.9492,2,99.5
112,2931,11.9766,36.9324,-13.8476,1,97
112,3119,12.7272,37.1424,-13.1359,1,101.167
112,3304,11.8108,37.0724,-12.0643,1,99.8333
112,3305,12.6432,37.1966,-12.2423,1,102.333
112,3303,10.9679,36.9933,-11.9043,2,98.1667
112,3302,10.118,36.9419,-11.7747,1,98.6667
112,3490,10.8096,37.1657,-11.0824,1,98.3333
112,3491,11.681,37.2136,-11.2077,1,98.8333
113,3185,9.13532,5.48261,-12.1236,0,106.833
113,3185,9.13532,5.48261,-12.1236,3,106.833
113,2996,9.22761,5.85136,-12.8418,2,115.857
113,2995,9.28764,6.17379,-13.467,1,120.4
113,2997,8.68888,6.2764,-13.0938,1,113.4
113,2810,10.0398,5.87102,-13.6482,1,123.143
113,2998,9.94444,5.50847,-12.8863,1,108.857
113,3182,8.43251,6.08967,-12.543,1,113.8
113,3183,8.58083,5.75092,-12.1032,1,112
113,3180,9.67819,5.21245,-12.1142,2,117
113,3179,9.96017,4.81809,-11.6783,1,119.143
113,3178,10.2594,5.09888,-12.4237,1,120.4
113,3366,9.13799,5.11398,-11.5049,1,113.8
