MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
11,4714,-28.9623,-4.71533,-11.4472,0,112.5
11,4714,-28.9623,-4.71533,-11.4472,3,112.5
11,4713,-29.9742,-5.24592,-10.9598,2,114.75
11,4710,-30.5355,-5.80831,-10.8916,1,118.5
11,4711,-30.1354,-6.04157,-11.3602,1,121
11,4715,-29.4166,-4.67152,-11.0091,1,111
11,4491,-29.1878,-5.33257,-11.692,1,115
11,4954,-30.7498,-5.05273,-10.1528,1,119.75
11,4955,-29.8317,-4.60637,-10.5819,1,112.833
11,4950,-30.9276,-5.67457,-10.473,1,121.833
11,4492,-28.5208,-4.82192,-11.9154,2,111
11,4493,-28.0789,-5.0346,-12.433,1,110.25
11,4496,-27.9406,-4.26502,-12.0101,1,107.5
11,4718,-28.8457,-4.13314,-11.0735,2,107.875
11,4719,-27.8953,-3.65179,-11.5371,1,110
11,4720,-28.3528,-3.60847,-11.0659,1,109
11,4959,-29.7016,-4.02601,-10.2018,1,116.5
11,4960,-28.7959,-3.57037,-10.6132,1,113.667
12,4718,-28.8457,-4.13314,-11.0735,0,107.875
12,4718,-28.8457,-4.13314,-11.0735,3,107.875
12,4715,-29.4166,-4.67152,-11.0091,2,111
12,4713,-29.9742,-5.24592,-10.9598,1,114.75
12,4714,-28.9623,-4.71533,-11.4472,1,112.5
12,4955,-29.8317,-4.60637,-10.5819,1,112.833
12,4719,-27.8953,-3.65179,-11.5371,2,110
12,4720,-28.3528,-3.60847,-11.0659,1,109
12,4496,-27.9406,-4.26502,-12.0101,1,107.5
12,4498,-27.4348,-3.68295,-12.004,1,109.75
12,4723,-27.8397,-3.09131,-11.0727,1,113.875
12,4501,-26.9171,-3.13503,-12.006,1,110.625
12,4959,-29.7016,-4.02601,-10.2018,2,116.5
12,4956,-30.2551,-4.53097,-10.1448,1,117.75
12,4960,-28.7959,-3.57037,-10.6132,1,113.667
12,4961,-29.2455,-3.52763,-10.1566,1,118
12,5183,-30.4462,-3.87714,-9.43928,1,118.667
12,5184,-29.6927,-3.46742,-9.70903,1,116.667
12,5179,-30.669,-4.43232,-9.71562,1,119.833
13,4921,-34.4251,-13.7126,-10.2608,0,110
13,4921,-34.4251,-13.7126,-10.2608,3,110
13,4922,-34.8398,-14.0829,-9.8737,2,108.5
13,4923,-35.1197,-13.4216,-9.70609,1,107.429
13,4920,-34.5476,-14.5827,-10.0361,1,104.4
13,5144,-35.1063,-14.7233,-9.48721,1,99.125
13,4919,-33.9715,-14.7705,-10.4805,2,105.286
13,4917,-33.816,-15.8345,-10.3763,1,108.333
13,4918,-34.4514,-15.403,-9.92586,1,104.833
13,4681,-33.3126,-15.3673,-10.9068,1,104.333
13,4683,-33.3849,-14.3571,-11.0104,1,103.333
13,4924,-33.8719,-13.8436,-10.6899,1,102.2
13,4925,-34.5961,-12.7466,-10.1819,2,110
13,4926,-35.1799,-12.4071,-9.72252,1,110.333
13,4927,-34.0003,-12.9641,-10.6379,1,100
13,4928,-34.594,-11.8265,-10.1623,1,109
13,4930,-34.0361,-12.0167,-10.5873,1,103.667
14,4922,-34.8398,-14.0829,-9.8737,0,108.5
14,4922,-34.8398,-14.0829,-9.8737,3,108.5
14,4921,-34.4251,-13.7126,-10.2608,2,110
14,4923,-35.1197,-13.4216,-9.70609,1,107.429
14,4920,-34.5476,-14.5827,-10.0361,1,104.4
14,4919,-33.9715,-14.7705,-10.4805,1,105.286
14,4924,-33.8719,-13.8436,-10.6899,1,102.2
14,4925,-34.5961,-12.7466,-10.1819,1,110
14,4927,-34.0003,-12.9641,-10.6379,1,100
14,5144,-35.1063,-14.7233,-9.48721,2,99.125
14,5142,-34.887,-15.8606,-9.37096,1,107
14,5143,-35.4607,-15.5084,-8.91304,1,104.5
14,5145,-35.6484,-14.6853,-8.98496,1,102.2
14,4918,-34.4514,-15.403,-9.92586,1,104.833
14,5146,-35.6147,-13.8387,-9.20547,1,104.667
15,4927,-34.0003,-12.9641,-10.6379,0,100
15,4927,-34.0003,-12.9641,-10.6379,3,100
15,4921,-34.4251,-13.7126,-10.2608,2,110
15,4922,-34.8398,-14.0829,-9.8737,1,108.5
15,4923,-35.1197,-13.4216,-9.70609,1,107.429
15,4920,-34.5476,-14.5827,-10.0361,1,104.4
15,4919,-33.9715,-14.7705,-10.4805,1,105.286
15,4924,-33.8719,-13.8436,-10.6899,1,102.2
15,4925,-34.5961,-12.7466,-10.1819,1,110
15,4685,-33.4177,-13.3343,-11.0648,2,105.167
15,4684,-32.8615,-13.7906,-11.4488,1,106.333
15,4683,-33.3849,-14.3571,-11.0104,1,103.333
15,4686,-32.8892,-12.7803,-11.4534,1,112.667
15,4687,-33.4613,-12.3685,-11.0307,1,108.667
15,4930,-34.0361,-12.0167,-10.5873,2,103.667
15,4928,-34.594,-11.8265,-10.1623,1,109
15,4689,-33.4409,-11.4103,-10.966,1,118.667
15,4933,-34.0292,-10.9978,-10.4701,1,116
16,4960,-28.7959,-3.57037,-10.6132,0,113.667
16,4960,-28.7959,-3.57037,-10.6132,3,113.667
16,4959,-29.7016,-4.02601,-10.2018,2,116.5
16,4956,-30.2551,-4.53097,-10.1448,1,117.75
16,4955,-29.8317,-4.60637,-10.5819,1,112.833
16,4961,-29.2455,-3.52763,-10.1566,1,118
16,4718,-28.8457,-4.13314,-11.0735,1,107.875
