MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
37,6290,-2.15449,41.2363,3.0183,1,118.8
37,6087,-2.10825,41.0212,2.07245,1,113.625
37,6501,-3.11686,41.2504,3.9865,1,118.4
37,6500,-3.99637,41.0506,3.98792,1,112.5
37,6307,-1.49537,41.506,3.70505,2,129
37,6089,-1.46243,41.3252,2.74416,1,128
37,6109,-0.486507,41.4994,2.76218,1,130.125
37,6308,-0.536726,41.6427,3.69719,1,132.4
37,6516,-2.48049,41.5284,4.67057,1,126.875
37,6517,-1.55854,41.6612,4.66158,1,128.2
37,6518,-0.778273,41.723,4.45821,1,126.667
38,6307,-1.49537,41.506,3.70505,0,129
38,6307,-1.49537,41.506,3.70505,3,129
38,6291,-2.43769,41.3335,3.71988,2,123.6
38,6289,-3.05411,41.0303,3.07204,1,111.875
38,6290,-2.15449,41.2363,3.0183,1,118.8
38,6501,-3.11686,41.2504,3.9865,1,118.4
38,6516,-2.48049,41.5284,4.67057,1,126.875
38,6089,-1.46243,41.3252,2.74416,2,128
38,6087,-2.10825,41.0212,2.07245,1,113.625
38,6088,-1.17654,41.2383,2.05414,1,123.6
38,6109,-0.486507,41.4994,2.76218,1,130.125
38,6308,-0.536726,41.6427,3.69719,2,132.4
38,6309,0.289872,41.7088,3.54784,1,132.5
38,6518,-0.778273,41.723,4.45821,1,126.667
38,6519,0.0975601,41.7983,4.35574,1,130
38,6517,-1.55854,41.6612,4.66158,2,128.2
38,6733,-1.77801,41.7649,5.45754,1,123.5
38,6734,-0.941013,41.8307,5.29704,1,124.167
39,6309,0.289872,41.7088,3.54784,0,132.5
39,6309,0.289872,41.7088,3.54784,3,132.5
39,6109,-0.486507,41.4994,2.76218,2,130.125
39,6089,-1.46243,41.3252,2.74416,1,128
39,6088,-1.17654,41.2383,2.05414,1,123.6
39,5873,-0.469468,41.3274,1.80474,1,123.6
39,5900,0.514724,41.4892,1.86478,1,128.375
39,6110,0.519563,41.6336,2.80193,1,132.6
39,6307,-1.49537,41.506,3.70505,1,129
39,6308,-0.536726,41.6427,3.69719,1,132.4
39,6310,1.23565,41.7791,3.52835,2,133.833
39,6111,1.36241,41.6863,2.66767,1,130.833
39,6311,2.17684,41.8133,3.48627,1,132.333
39,6520,1.02197,41.8661,4.33628,1,131.667
39,6521,1.9855,41.9125,4.36804,1,130
39,6519,0.0975601,41.7983,4.35574,2,130
39,6518,-0.778273,41.723,4.45821,1,126.667
39,6735,-0.0801395,41.896,5.16994,1,123.667
39,6736,0.711956,41.9451,5.05216,1,119
40,6400,-16.6253,20.4128,4.29639,0,120
40,6400,-16.6253,20.4128,4.29639,3,120
40,6399,-16.3588,19.4746,4.37323,2,119.857
40,6398,-16.1284,18.6608,4.52494,1,118.2
40,6397,-16.0163,19.0121,3.92006,1,115.6
40,6197,-16.1051,19.6411,3.60629,1,115.4
40,6198,-16.2968,20.4277,3.51909,1,118.571
40,6610,-16.3582,18.4845,5.29335,1,119.857
40,6611,-16.6473,19.3336,5.17613,1,119.571
40,6199,-16.4809,21.3676,3.43371,2,118.833
40,5991,-16.1774,21.3093,2.75882,1,115.833
40,5993,-16.2807,22.2018,2.66391,1,115.833
40,6200,-16.6328,22.4254,3.36281,1,117.571
40,6401,-16.7805,21.4285,4.05642,1,116.833
40,6612,-16.8869,20.1337,5.05651,2,118.2
40,6613,-16.9921,19.6934,5.64492,1,119.2
40,6614,-17.1978,20.3708,5.63421,1,120.333
